10180,Olivia Davis,"""3 Elm Street, Limerick""",2025-11-19 17:36:45.0000000,PAYING,PAY CURR
10388,Laura Garcia,"""58 Elm Street, Dublin""",2025-11-07 17:53:06.0000000,TRACE,GONEAWAY
10474,John Rodriguez,"""95 Elm Street, Cork""",2025-06-11 11:59:07.0000000,PAYING,PAY PROP
10506,David Jones,"""106 Pine Road, Waterford""",2025-11-14 12:41:20.0000000,TRACE,GONEAWAY
10585,Michael Davis,"""71 Riverside Drive, Belfast""",2025-10-31 11:40:01.0000000,PAYING,PAY PROP
10869,John Williams,"""5 Hillcrest Road, Dublin""",2025-11-22 14:52:16.0000000,SETTLED,SETTLED
11254,Maria Brown,"""48 Elm Street, Kilkenny""",2025-10-04 01:05:31.0000000,PAYING,PAY PROP
11336,Emma Smith,"""64 Pine Road, Sligo""",2025-11-19 18:37:00.0000000,LEGAL,HOLD FO
11352,Alex Johnson,"""38 Hillcrest Road, Sligo""",2025-11-09 01:06:17.0000000,LEGAL,LEG_TIT
11356,Maria Williams,"""147 Oak Street, Galway""",2025-11-13 01:52:38.0000000,TRACE,GONEAWAY
11449,Daniel Miller,"""6 Hillcrest Road, Waterford""",2025-11-26 11:19:23.0000000,OTHER,ARCHIVED
11916,John Miller,"""42 Cedar Lane, Kilkenny""",2025-11-13 07:47:52.0000000,SETTLED,SETTLED
12247,Laura Smith,"""200 Pine Road, Dublin""",2025-10-23 15:04:39.0000000,PAYING,PAY PROP
13057,David Williams,"""64 Elm Street, Cork""",2025-11-21 13:00:18.0000000,INSOLVENCY,INS2
13124,David Rodriguez,"""90 Elm Street, Waterford""",2025-10-10 13:01:58.0000000,SETTLED,SETTLED
13206,Michael Brown,"""71 Hillcrest Road, Sligo""",2025-10-31 07:37:54.0000000,TRACE,GONEAWAY
13356,James Jones,"""85 Cedar Lane, Cork""",2025-11-08 01:06:23.0000000,TRACE,GONEAWAY
13416,Emma Wilson,"""58 Pine Road, Dublin""",2025-11-08 19:12:59.0000000,PAYING,PAY CURR
13484,Maria Davis,"""129 Cedar Lane, Galway""",2025-09-14 09:54:05.0000000,LEGAL,LEG VERIF 2
13664,Emma Wilson,"""1 Cedar Lane, Galway""",2025-11-07 15:43:36.0000000,LEGAL,LEG VERIF 1
13787,Laura Wilson,"""88 Elm Street, Cork""",2025-08-01 20:34:23.0000000,TRACE,GONEAWAY
13861,David Smith,"""185 Maple Avenue, Dublin""",2025-10-21 10:00:09.0000000,SETTLED,SETTLED
13883,David Smith,"""74 Sunset Boulevard, Cork""",2025-10-25 05:12:20.0000000,PAYING,PAY PROP
13989,Sophia Rodriguez,"""95 Cedar Lane, Dublin""",2025-08-11 12:15:37.0000000,OTHER,ARCHIVED
14006,James Johnson,"""124 Maple Avenue, Galway""",2025-11-13 20:03:09.0000000,TRACE,GONEAWAY
